ID,Title,Category,Plot
3805,The Subject Was Roses,"""Drama""","Returning to his Bronx home following World War II, Timmy Cleary discovers his middle class parents have drifted apart and constantly quarrel at the least provocation. Once closer to his mother Nettie, the young veteran finds himself bonding with his salesman father John, but he tries to remain neutral when intervening in their disputes. En route home after a day trip to the family's summer cottage with his father, Timmy purchases a bouquet of roses and suggests John present them to his wife. Nettie is thrilled by his apparent thoughtfulness, and the three spend the evening nightclubbing in Manhattan. When an inebriated John  attempts to make love to his wife later that night, Nettie rejects his advances, suggesting he go to ""one of his whores"", and breaks the vase of flowers, prompting her husband to reveal it really was Timmy who bought them. The following morning, while John is at Sunday Mass, Timmy accuses his mother of trying to make him choose between his parents, and she goes out to allow both of them time to calm down. When she returns, she finds John arguing with their half-drunk son. Realizing the domestic situation is not likely to improve, Timmy announces he is leaving home, a decision his parents grudgingly accept. When he changes his mind, his father insists he stick to his plan, and the three eat breakfast together before he departs."
3806,Running Scared,"""Thriller"",  ""Gangster Film"",  ""Action/Adventure"",  ""Drama"",  ""Crime Thriller"",  ""Action""","Joey Gazelle , an FBI agent, is undercover as a low-level mafioso for Mafia boss Tommy ""Tombs"" Perello  when he’s present during a drug deal gone wrong. Dirty cops dressed in ski masks, storm in and try to steal the drugs, the money and kill everyone else but a shootout ensues and Tommy looks to Joey to take the guns and get rid of them. Instead, Joey goes home to his wife Teresa , and his son, Nicky . Nicky and his friend from next door, Oleg  secretly watch as Joey stashes the guns in the basement. Oleg decides to take one of the guns after Joey leaves and goes home that night to his mother Mila  and abusive stepfather, Anzor Yugorsky , the outcast nephew of Russian mob boss, Ivan Yugorsky . Oleg uses the gun on Anzor after he becomes belligerent with Oleg and Joey goes next door after hearing the gunshots to find Anzor wounded and Oleg gone. Anzor describes the gun to Joey, making him realize Oleg has one of the murder weapons and he knows he has to find Oleg and the gun before the police do. Throughout the night, Oleg runs into many unsavory people, including a homeless man, a drug dealer, an abusive pimp named Lester  and his girl, Divina . After saving Divina from Lester, she decides to help him which is how he winds up at the same diner that Joey and Nicky are at. They are there for Joey to talk to Frankie Perello , the Italian mob boss, about Oleg and to tell him that the gun Oleg used wasn’t from the shootout. Nicky and Oleg stash the gun in the diner bathroom and when Oleg tries to flee, he is caught by the police and sent back into his stepfather’s custody. But when Anzor takes Oleg out for ice cream to get him to tell him where the gun is, Oleg eventually winds up in the apartment with two other children of a seemingly normal married couple, Dez  and Edele  who turn out to be sadistic child molesters. Oleg fakes an upset stomach and on the way to the bathroom, he finds Edele's purse by the door and takes her cell phone and calls Teresa. She prompts him to find anything with the apartment's address, and promises to come get him as Dez and Edele try and force their way into the bathroom. When Teresa arrives, she threatens her way inside and searches the whole apartment, but sees no sign of Oleg and goes to leave when she realizes something is off. She threatens Dez who eventually indicates a closet in the playroom where she finds Oleg tied up with a plastic bag on his head. After reviving him with CPR, Dez bribes Teresa with $100,000 in diamonds if she takes only Oleg and leaves. Teresa ignores him and finds children costumes, plastic body bags, children snuff films and surgical instruments in the playroom closet. She shoots and kills the couple after hanging up with the police for reporting gunshots. Joey and Oleg are taken to the hockey rink by Tommy where they meet Frankie and Ivan. Ivan kills Anzor when he refuses to kill Oleg and Joey says that the gun is Tommy’s. Tommy goes to kill him but is killed instead by a Russian mobster where another shootout ensues. Frankie shoots Ivan during the process and goes to kill Joey when Joey reveals his FBI cover. Oleg helps distract Frankie so Joey can disarm him where he then shoots and kills Frankie. Joey and Oleg leave the hockey rink in time to see the FBI storm the building. Joey and Oleg run into Lester, the new owner of the gun and a struggle between Joey and Lester develops that ends with Lester shooting Joey with the gun but not before Joey stabs Lester in the neck with his own knife. Joey and Oleg run and drive back to Joey’s house. Back at Oleg’s house, Mila thinks her son is dead and kills herself by blowing up the meth lab in their backyard. The explosion makes Teresa and Nicky come outside to investigate when they see Joey crash the car after losing consciousness. Days later, a funeral is held for Joey with Teresa, Nicky, and Oleg in attendance. They drive out to a small farm house, where Joey's car is parked in the driveway. Teresa sits on the car's bumper when Joey emerges from under the car, alive and well, and hugs Nicky and Oleg, who they seemingly have adopted."
3807,Showdown At The Cotton Mill,"""Action/Adventure"",  ""Action"",  ""Martial Arts Film"",  ""Chinese Movies"",  ""World cinema""","After achieving much fame and glory from smashing the cotton mill, Shaolin hero Hu Hui-Chien has become the people's champion and the sworn enemy of the Ching government. So enraged are they, that they employ the best fighters from the Wu Tang. A leg fighter named Ko, whose ""Flash Northern Legs"" are undefeated in the whole of China, travels to Canton at the invitation of the Ching government to kill Shaolin master Hu Hui-Chien. This leads to the classic northern kicks vs. southern fist duel."
3808,Tenchi Forever!,"""Japanese Movies""","The movie opens with a scene that fans know all too well: Ryoko and Ayeka begin to fight over chores, and Tenchi runs into the forest after they demand he makes a choice between the two of them. He stumbles upon a huge tree covered in strange flowers, and suddenly vanishes without a trace. Tenchi has a strange dream of floating through nothingness while surrounded by the flowers he saw before, and wakes up to find himself a completely different person. He's several years older, has long hair, and lives with a beautiful young woman named Haruna. Tenchi shrugs off his old life as a dream and enters a new one with Haruna. The film jumps ahead six months. Tenchi's family and friends have been searching in vain for him, and the stress is building. His father Nobuyuki has filed a missing-person report, Mihoshi and Kiyone have infiltrated the Science Academy to look for clues, Sasami has returned to Jurai, and Ryoko and Ayeka have moved to Tokyo to continue the search. Ayeka and Ryoko have become shadows of their former selves: depressed, brooding, and sometimes angry. To pay for their food and lodgings, they've become waitresses at a small diner during the day, and every spare moment is spent showing Tenchi's picture to passersby, looking for some glimmer of hope. After a chance encounter with Tenchi and Haruna, the girls report back to Washu, who realizes that Tenchi has been drawn into a parallel world very close to ours. A plan to find and bring him back is set into motion. Meanwhile, Tenchi is beginning to get severe headaches, which for some reason coincide with his fleeting memories of his real life. Haruna becomes very upset when he starts to subconsciously draw crude pictures of Ryoko. To comfort her, Tenchi takes her out to buy engagement rings for one another, and stops for dinner at Ryoko and Ayeka's restaurant. When Ryoko tries to address them, there is no response, and her attempts to touch Tenchi pass right through him, making his headache worse. Tenchi and Haruna fade away to nothingness, leaving Ayeka and Ryoko confused and upset. Washu and Katsuhito have an encounter in the wilderness, and the old shrine master admits he knows what's happening. Haruna was the name of the woman he left Jurai with, but she died on the way to Earth. The huge tree that Tenchi encountered before he vanished grew from the spot that Haruna's body was buried. Katsuhito explains that her soul must have been very lonely, and drew Tenchi into another world to recapture the love she had lost. With this new information, Washu finalizes her plan. With the power of the trees Katsuhito planted over the years, Washu creates a doorway into Haruna's world, and Ryoko and Ayeka enter. Confronting Haruna and Tenchi, they try to bring him back, but his altered memories confuse him, and Tenchi sternly rebukes the two. With her power over the parallel world, Haruna banishes them back to our Earth. Devastated by Tenchi's rejection, Ryoko begins to cry. Haruna has been draining Tenchi's Jurai Power to keep her world stable, and he begins to feel the effects. The world begins to fade away when Tenchi remembers more about his past, and Haruna cannot hide discrepancies of the ""perfect world"" from him . Her method of restarting the day  after something goes wrong stops working just as Katsuhito confronts his past and slashes into Haruna's tree with his lightsword, channeling his essence into her soul. Haruna recognizes her true love Yosho, and remembers why she took Tenchi away in the first place: as a substitute for Yosho. Yosho and Haruna leave together, Katsuhito reappearing in front of the ruined tree, and Tenchi finally remembers who he is. Without Haruna's presence, her world begins to vanish, and Tenchi has no way of escaping. Washu can only send one person to rescue Tenchi, and Ayeka tells Ryoko to go. After a bit of relieved banter, Ryoko lifts Tenchi into the sky to teleport them back to the real world, and he looks back down on his false life, ""ready to leave it behind"". A shot of Haruna's table shows the rings they purchased together, left behind by both individuals as they leave the charade she kept up for so long. The movie closes as we examine the Masaki household returning to normal life. Tenchi has become young again, his hair short and spiky as it was. Though he does not remember his experiences in the parallel world, he has taken up drawing like his older alter ego, because he likes the way it makes him feel. Just before the credits roll, Tenchi and Ryoko enjoy a quiet moment together as the wind shakes the trees, mirroring a scene involving Tenchi's parents in Tenchi Muyo in Love.  A manga was released around the time that TM!IL 2 was released. Called Tenchi Muyo! In Love 2: Eternal Memory, written by Negishi, the story focused on Sasami and implied that Sasami had a larger role in the movie, behind the scenes. The manga also hinted that perhaps Sasami and Tenchi will have a child in the future, though Sasami realizes that her choices in the manga may or may not change the likelihood of that particular outcome. This manga was never released outside of Japan."
3809,Mayura,"""Historical drama""","The film opens in Kanchi with Mayura, a Brahmin youth challenging an arrogant wrestler and defeating him. Mayura had never been formally trained and had only learned techniques of wrestling by observing other wrestlers. As a Brahmin, he was required to study Vedas, yet he was deeply interested in martial arts and after this wrestling encounter, Ranga Jetti , the premier wrestler in Kanchi, takes him under his wing and trains him. After becoming proficient in all the martial arts, one day, while observing the training of Pallava princes, Mayura accidentally gets into a fight with and gives a thrashing to Vishnugopa , the Pallava prince, thereby earning his enmity. After this, Mayura has to flee Kanchi as per the advice of Ranga Jetti, to escape from pursuing Pallavas. He also then learns that he is in fact the son of Raja Chandravarma, the Kadamba king who was killed by deceit by the Pallava king, Sivaskandhavarma. Upon learning from his father's minister about his Kshatriya antecedents and his illustrious lineage, Mayura dedicates himself to throw the Pallava  yoke and liberate his motherland. Returning to Banavasi in the guise of a merchant called Nilakanthagupta, Mayura builds a following and an army. Through clever strategies, he conquers both Banavasi and the Telugu speaking regions around Srishaila, thus building a vast kingdom. While the film builds the rivalry between Vishnugopa and Mayura, it also throws light on the mutually admiring friendship between Mayura and the Pallava crown prince  and also on the growing love between Mayura and the Pallava princess Premavati ([[Manjula . In the end, Vishnugopa overcomes his anger and hatred towards Mayura, who marries Premavati, with the blessings of Sivaskandhavarma himself.Rajkumar: Mayura - 1"
3810,Ruthless Tactics,"""Action"",  ""Martial Arts Film"",  ""Drama"",  ""Chinese Movies""","In the 16th century, Japanese pirates terrorized the harbors of China for decades until General Chi Ching Kwong  masterminded a naval task force to combat the invaders. The oppressive Japanese government sends a contingent of stealth Ninjas to assassinate the General in his palace. His son discovers that these killers have pledged their lives to eradicate his father. Soon Ninja assassins are attacking the General’s soldiers in order to get to him. General Chi Ching Kwong sends his son on a mission to recruit three Chinese anti-Ninjitsu fighters from the elder Master of Three Arts, who owes the General a debt. When the son establishes contact with the Master of Three Arts, the old one informs the General’s son that his three pupils do not know each other’s identity. The General’s son first meets up with the mischievous Chow Chun  who he quickly enlists to the cause. Together they recruit the other student, a blacksmith named Tung Yen . Chow Chun and Tung Yen are students of the same master, but don’t know each other and their philosophies cause them to fight playfully. Finally, the contingent adds the missing component to their team, that of weapons specialist, Mao Tin Yeung . Even as General Chi Ching Kwong’s son and his newfound allies return to the palace, several Ninjas have infiltrated the household disguised as servants. The General’s son then assigns each of his fighters to pose as servants as well, to catch any possible assassination attempts. Chow Chun is assigned to assist in the kitchens, to watch over the staff. He sees the lead cook load a deadly blade onto a tray and try to deliver it to the General for dinner. Chow Chun races out to the serving room and faces off with the Ninja assassin. General Chi Ching Kwong watches as his dinner is interrupted by this life or death battle. Next, one of the guards turns out to be an assassin, and is discovered by Tung Yen and soundly trashed. Mao Tin Yeung uses his wits to determine that the recent hiring of a palace maiden is indeed a female undercover Ninja. When he confronts her, she goes crazy and he is forced to fight her to the death. The leader of the Japanese Ninjas, Shi Ping Wei  deploys a plan to kidnap the General’s son to lure the General’s bodyguards away from the palace where he will be unprotected. A band of sneaky Ninjas make off with the son, and hide him away in the nearby gardens. Chow Chun, Tung Yen, and Mao Tin Yeung unite and attempt to rescue the General’s son. Along the way, they are attacked by various bands of Ninja, including Tree Ninjas, Earth Ninjas, Sun Ninja’s. They finally fight their way past the Ninja horde, only to discover the General’s son is the prisoner of the sword-wielding Shi Ping Wei! The heroes must fight their way past this deadly swordmaster and his Ninja disciples if they are to rescue the General’s son..."
3811,Return of the Boogeyman,"""Horror""",The film revolves around a young woman named Annie who has horrible nightmares every time she goes to sleep. She soon realizes that her dreams are predictions of the oncoming slaughter of the Boogeyman. She and her friends then set off to stop him.
3812,5 Card Stud,"""Romantic comedy"",  ""Romantic drama"",  ""Romance Film"",  ""Drama"",  ""Comedy""",A bartender with a fear of commitment has limited his social life to a weekly poker game with the guys. His best friend sets him up with sure thing one night stand and the two fall in love.
3813,Khilona,"""World cinema"",  ""Musical"",  ""Drama"",  ""Romantic drama"",  ""Romance Film"",  ""Bollywood""","Vijaykamal  is a son of a rich Thakur Suraj Singh but has lost his mind. He sees his lover Sapna marry his neighbour Bihari  and then commit suicide on the night of the Diwali party hosted by Bihari. This incident puts Vijay in shock. Thakur believes that if he be married, he would turn well. He hence approaches a tawaif Chand (played by [[Mumtaz  to pretend to be Vijay's wife and then help him be normal. But Chand is given cold treatment by Vijay's mother and his elder brother Kishore. Vijay treats Chand badly by also once sexually assaulting her. But later Chand becomes very friendly with Vijay and that starts improving his condition. Bihari who wishes to have Chand for himself also tries to persuade Vijay's young sister Radha. He promises Radha to make her actress in Bollywood and asks her to run away with money and gold. But Chand does not let Bihari's plan work. Vijay's younger brother Mohan  also falls in love with noble Chand but then suddenly leaves the home when he find that she is pregnant and is carrying Vijay's child. In a fight between Vijay and Bihari, Bihari falls off the terrace and this shocks Vijay making him normal again. But then Vijay is unable to recall Chand. She is then humiliated by the family and is thrown out of house. Then Mohan comes and accuses everyone for treating her like a toy and only using her when needed. He rescues her and tells the truth of how she did not let Bihari's plan work and save Radha. It is also revealed that Chand was actually born in a noble family and was only raised as a tawaif as she was found alone after a train accident. The family thus accepts Chand and all sets well."
3814,Dark Alibi,"""Crime Fiction"",  ""Crime Thriller"",  ""Detective fiction"",  ""Detective"",  ""Mystery""",Charlie Chan works with a public defender to clear a man wrongly convicted and scheduled for execution.
3815,A Funny Story About 6 and 9,"""Crime Fiction"",  ""Action/Adventure"",  ""Thriller"",  ""Comedy"",  ""World cinema""","Tum is a secretary working for a bank when the company is forced to shed staff. As the boss could not bear to select which staff to fire, he uses the Kau Cim to determine who must leave. Tum draws one of the unlucky numbers and is laid off. Back at her apartment building, she finds the elevator is out of order, and is somewhat bothered by a young man who is a little too helpful. She is nonetheless accommodating and friendly. Once alone, though, she envisions all kinds of suicidal scenarios, including drinking household cleaning chemicals or blowing her head off with a handgun. Her luck changes for the weirder the next morning when she discovers an instant noodle box in front of her door. It is filled with 500 baht bills. Apparently it's been left there because the number on her apartment door, 6, is missing a nail, so flips upside down, making it appear she lives in apartment 9, which is actually down the hall. Soon after, a couple of thugs from a Muay Thai camp ask her if she has seen the box. They force their way into her flat, only to be killed, accidentally. Tum decides to get rid of their bodies, get a plane ticket, obtain a fake passport and visa, take the noodle box with her and go spend the rest of her life somewhere else. But the gangster, Kanjit, who makes fake passports happens to be the very guy she must stay away from. More men sent by a Muay Thai promoter appears at Tum's apartment, where one quickly hid in her wardrobe when she returned home. A young policeman, who is the lover of her nosy neighbor, Pen, suddenly calls on her and discovers the bodies. The hidden man attracts the policeman's attention when he cocks his gun, and the subsequent firefight kills them both. As Tum tries to hide the two bodies, Pen comes to visit, believing the policeman was still in her home. Another man arrives at the apartment later to seek out the missing men, and mistakenly thought he has killed the policeman after firing into the cop's body which was hidden behind a door. As Tum tried to clean up the mess and hide the cop's body later, Pen and other neighbours spies on her through the keyhole and mistakenly believe she was having an affair with the policeman. Pen contemplates on ways to figure out what Tum is doing, and ends up speculating the worst about her. Also, there's Tum's friend, Jim, who's distraught over her boyfriend cheating on her. Tum takes Jim with her to get her passport, and Jim accidentally gets caught in the crossfire. Jim, now dead, has been compromised and Tum makes off with the money. Tum remembers the reference of Pen when Pen was telling her about how the bodies were dumped down the lake and whatever goes down there disappears, and therefore dumps the money, escaping with just guilt."
3816,La Jeune femme et l'instit,"""Short Film""","The encounter between a teacher, who arrived in a village during the school year, and a young woman who has gone crazy after her husband drowned while crossing the Mediterranean to get to Europe."
3817,My Mom's New Boyfriend,"""Romantic comedy"",  ""Romance Film"",  ""Comedy""","The film begins with Tommy Lucero  being caught by French police following a foiled robbery at a museum. Tommy seems confident he will not remain in police custody very long. The film then shifts its focus to Henry Durand . Henry had to care for his mother, Marty , when his father died in jail. Now a grown man and an FBI agent, Henry leaves his overweight mother to go work on a case. Upon returning three years later, he finds his mother has lost a considerable amount of weight and is dating several men, one half her age, having turned over a new leaf after a passerby dropped a coin in her coffee cup, mistaking her for a homeless person. Henry announces to his mother that he has recently become engaged to another FBI agent, Emily . Henry finds himself in a very uneasy state with his newly transformed mother and begins to be extremely protective about her. He confides his worries in his fiancée who does not find anything unusual in Marty's behavior. While taking a walk with Henry and Emily, Marty is hit in the head by a toy helicopter being flown by Tommy. Tommy asks to take the trio to dinner at an old Albanian restaurant as an apology. Henry, who is still protective of his mother, grudgingly concedes to go when he notices how much his mother and Emily want to. Romance sparks between Marty and Tommy. Henry, meanwhile, is informed by his FBI superiors that they expect Tommy and two accomplices are going to attempt to steal a sculpture currently on display at a local museum. Along with his fellow agents, Henry spies on his mother around the clock, albeit reluctantly, after the FBI chief implied that he may be shipped to Alaska if he doesn't cooperate. Many uncomfortable situations arise for Henry as he has to listen into the conversations his mother has with Tommy. While stealing the sculpture, Tommy is betrayed by his gang members and shot twice in the chest. He survives due to wearing a ballistic vest, but is later caught by Henry and Emily. Tommy reveals to them that his real name is Tomas Martinez and he is with the CIA. He has been working undercover trying to apprehend a gang of thieves who are stealing art to fund terrorism. He is concerned the gang will attempt to kill Marty as they know he has been romantically involved with her and she may know about their operation. The trio reaches the Durand house in time to rescues Marty from the gang. The film ends the gang members taken into custody while Tommy kisses Marty and Henry kisses Emily."
3818,Nine Two Eleven,"""Thriller"",  ""Romantic drama"",  ""Romance Film"",  ""Drama"",  ""World cinema""","The film starts with Madan Gopal  being thrown out of his house for not paying the rent. He goes to visit his friend, who has been helping him collect his mail, and finds a letter from his uncle, Manoharlal. Manoharlal writes that he is willing eleven lakh rupees , to Madan. It was originally willed to his sister-in-law's son, Kuldeep . After seeing Kuldeep's bad behaviour, though, Manoharlal decides to give the money to Madan. Madan promptly gets a truck and sets off for Bombay, and on the way, his friend drags him to a wedding. The two discuss the wedding, with Madan saying that if he was in the girl's place, he would run away. True enough, when an eavesdropping friend tells the bride, Raksha  that the groom, Surjit ([[Jeevan , she decides to run away and hide in Madan's truck. Raksha disguises herself as a Sikh boy with the psedonym of Sardar Nihal Singh and hides in his truck. Madan discovers ""him"" and the two quarrel nonstop, but Madan is compelled to take him along because the boy has money, food and water. The disguise soon comes loose and Sardar Nihal Singh is revealed to be a girl. Madan doesn't know her past, but the two of them fall in love, with Madan teasing her on several occasions, calling her a ""thief"". Raksha, who was unhappy with her marriage, finally finds happiness travelling with Madan. When the two of them reach Bombay, Madan goes off to see his friend, Radheshyam , but is informed that Manoharlal has died. A shocked Madan takes out the letter and finds out that it is a few months old. Radheshyam says that all the property has gone to Kuldeep and his mother ."
3819,Juggernaut,"""Disaster"",  ""Thriller"",  ""Action"",  ""Crime Thriller"",  ""Action/Adventure""","A cruise liner, the SS Britannic, is in the middle of the Atlantic when the owner of the shipping line, Porter , receives a phone call from a man with a lilting Irish accent who refers to himself only as Juggernaut. Juggernaut claims to have placed seven barrels of amatol  aboard the Britannic that will explode and sink the ship by dawn the following day. The barrels are booby-trapped and any attempt to defuse them will result in an explosion. Details of how to render the bombs safe will be sent in exchange for a ransom of five hundred thousand pounds sterling. To show he is serious, Juggernaut arranges a demonstration, a series of small explosions on the Britannic's bridge that seriously injure one crewmen.  Porter is all for paying the ransom and saving the 1,200 passengers on board . However, officials of the British government inform Porter that if he pays the ransom, they will withdraw his company's operating subsidy. Instead, a bomb disposal expert, Lt. Cmdr. Anthony Fallon , and his team must parachute into the Atlantic, board the Britannic and defuse the barrels before the deadline. Meanwhile, Supt. John McCleod , whose wife and two children are on board the Britannic leads the efforts on land to find Juggernaut. After an attempt to defuse one bomb by robot fails, Fallon goes to his backup plan. Fallon's team will defuse one barrel each. Fallon will go first, informing his men of each move. If he fails and the bomb explodes, his men will know what went wrong. However, if two more bombs go off, the ship will sink. Fallon proceeds to disarm one bomb, with his men following each successful step, however, a sudden lurch in the ship due to the bad weather causes one of his men to trip a booby-trap, causing his death when the barrel explodes. Fallon gives up and tells the Captain to pay the ransom, but is persuaded to continue. Meanwhile, an extensive Police search locates Juggernaut and he is taken to the command post set up in a school where he is persuaded to tell Fallon how to disarm the final booby-trap. Fallon senses he is being lied to and cuts the opposite wire from the one Juggernaut tells him, thus rendering the bomb inert. His men quickly follow on their own bombs, Juggernaut is arrested and the ship is saved."
3820,Muscle Beach Tom,"""Short Film""","It is a busy day at Muscle Beach; Jerry sunbathes while several cats are working out with weights. Tom and his girlfriend arrive and Tom dumps their beach equipment on top of Jerry. Jerry crawls out from the pile and moves his beach towel further down the beach, but Tom happens to pick where Jerry is lying to plant his beach umbrella. When Jerry digs himself from out of the sand, ripping his beach towel in the process before lying back down, Tom has started carelessly throwing garbage his way. Jerry angrily marches up to Tom and slaps him with a banana peel and is rewarded with being filled up with helium from a balloon and let go to rocket into the distance.  Tom turns back to his girlfriend, but she is now paying attention to Butch, who is impressing her with awesome displays of weightlifting. Tom confronts Butch, but Butch brushes him off. Tom tries to confront Butch again, but Jerry interferes, leaving Tom relatively crabby.  Still determined to win his girl back, Tom engages Butch in games of one-upmanship which ultimately prove futile. In a last-ditch effort, Tom stuffs his bathing suit with helium balloons to make it look like he is heavily muscled. The balloons make Tom float over the ground, so he ties an anchor around his waist to hold himself down. Tom returns to where Butch is showing off for his girlfriend and vanquishes his rival with a well-place swing of the anchor. Tom flexes his ""muscles"" for his girl but is annoyed by the sound of Jerry eating noisily nearby. Tom flips the picnic basket's cover and, by crashing on his head, it's force silences Jerry, who exacts his revenge by untying the anchor of Tom's waist. Tom has to hold onto his beach umbrella to keep from floating away, so Jerry inflates Tom's suit like a balloon with a helium canister, and then pricks him with a safety pin, causing Tom to spin in the air and float away high into the sky. Jerry attempts to impress Tom's girlfriend by lifting a barbell made with two tomatoes, but the weight is too much for him and, like Tom in his earlier attempt to impress his girlfriend, Jerry ends up flattened between the weights."
3821,A`isha,"""Drama""","A rich man meets a poor woman, A`isha, who sells lottery tickets in the streets. He is shocked at how her appearance resembles that of his recently deceased daughter. The rich man offers to pay her father a monthly fee to adopt her. The father accepts, and after finding out how attached the rich man is to A'isha, the father tries to blackmail him for more money. The police find out and jail the father. Released from jail the father finds that A'isha has completed her studies. He demands a large amount of money from the rich man, but when he refuses to do so, the father takes her by force. The film ends as A`isha returns to her stepfather and marries her love, Dr. Sami."
3822,Black Samurai,"""Crime Fiction"",  ""Action/Adventure"",  ""Blaxploitation"",  ""Martial Arts Film"",  ""Action"",  ""Spy""","Robert Sand, agent of D.R.A.G.O.N. Defense Reserve Agency Guardian Of Nations, is playing tennis on his vacation with a beautiful black girl, when his commanding officers ask him to save a Chinese girl named Toki who happens to be Sand's girlfriend, and the daughter of a top Eastern Ambassador. The ransom for the abduction was the secret for a terrific new weapon - the freeze bomb - but the 'Warlock' behind the deed is also into the business of drug dealing and Voodoo ritual murders. The search takes him from Hong Kong to California through Miami, and plenty of action, against bad men, bad girl, and bad animals."
3823,Sailaab,"""Thriller"",  ""Romance Film"",  ""Drama""","Dr. Sushma Malhotra  treats her patient Krishna , who has lost his memory in some accident. For the care she takes, Krishna falls in love with her and then they get married. In another accident while taking photographs, Krishna falls down and hurts his head. This injury brings back his old memories. To Sushma's surprise, the old memories bring in something unexpected which results in Krishna trying to kill his wife Sushma."
3824,The Muslims I Know,"""Documentary""",If you search the words “moderate Muslim” today you will get more than 8 million hits on the internet. This interest is the result of apost-9/11 Western world trying to make sense of Islam and its followers. The need to identify “militant jihadists” by distinguishing them from moderate Muslims has cast suspicion on all Muslims in America. Stereotypes are becoming well-entrenched. The purpose of this documentary is to break those stereotypes by showcasing Pakistani Americans and asking them questions non-Muslim Americans have framed through vox pop interviews. A secondary goal is to educate people about the basic tenets of Islam in order to highlight similarities with the Judeo-Christian tradition.
3825,Romeo & Juliet: Sealed with a Kiss,"""Family Film"",  ""Children's/Family"",  ""Romantic fantasy"",  ""Children's Fantasy"",  ""Animation""","Warring Capulets and Montagues, portrayed as white  and brown  colored sea lions respectively, have their feud watched sadly by Capulet's only daughter, Juliet. A fight on the shore is ended when the Prince, a large and monstrous elephant seal, appears and warns the two groups that should there be any more disturbance, the seal who caused it shall be exiled to Shark Island, a fin shaped rock where a shark lives. Romeo, Montague's only son, is depressed, wishing to fall in love with someone. His humorous friend Mercutio urges him and another of his friends, Benvolio, to go to a Capulet party later that evening. They attend the party, covered in white sand to look like a Capulet, but not before Romeo falls in love with Juliet at first sight. Juliet, however, was promised by her father to marry Prince, who attends the party. Romeo and his friends manage to wreak havoc, and are revealed to be Montagues. Later that evening, the balcony scene is recreated on a cliff on the beach where a tree grows, and Romeo promises Juliet that they shall marry the next morning, and she will not have to marry Prince. Romeo begs Friar Lawrence, in this story a sea otter, to wed them. After some thought, he believes their marriage will end the feud of their families, and agrees. They are wed that very morning, and traverse the sea in their happiness. However, even the other sea and land animals strongly oppose them being together. One animal, a fish  finds them as a lovely couple, but warns them that they will be in big trouble if Prince finds out. Back on the beach, Mercutio telling many jokes, which leads to him making insulting jokes against the Capulets, and the Prince is headed in that direction. When he arrives, Mercutio mocks him as well. Romeo rushes to aid his friend, but after a struggle Mercutio falls off the cliff where Juliet met Romeo the previous evening, and everyone thinks that he is dead. Prince, jealous of Romeo having Juliet's affection rather than him, exiles Romeo to Shark Island. In despair, Juliet seeks the Friar's help, and he gives her a potion to put her in a deathlike position. Mercutio is revealed to be alive and sees the whole thing, remarking, ""What a tangled web we weave."" Lawrence shows the Capulet seals that Juliet is ""dead"", right as they were celebrating the marriage. But Benvolio sees her as well, and swims to Shark Island to tell Romeo. The Friar chases him to stop him, but is attacked by a shark. After receiving the terrible news, Romeo heads to the shore to see if Juliet is truly dead. Friar Lawrence arrives too late and tries to follow Romeo, only to have his tail maimed by the shark. After an undersea chase and some help from the fish Romeo and Juliet met earlier, Lawrence escapes and heads to the beach. A heartbroken Romeo walks past the mourning Capulets and tries to kiss Juliet, only to have some of the potion slip into his own mouth, putting him in a deathlike position as well. Both groups of seals begin to weep for their loss, and Lawrence, who has just arrived, takes the moment to teach them a lesson about where hatred leads them. Suddenly, Romeo and Juliet awaken, and all is well. Mercutio returns, Prince finds a new mate: a large elephant seal like himself, burps like a seal. The movie ends with the two families at peace, and Romeo and Juliet remaining together."
3826,Neel Rajar Deshe,"""Adventure""","This “adventure story for kids” actually revolves around a naughty and adolescent kid, Raja’s adventures during his holidays spent in his home in the picturesque backdrop of North Bengal at the foothills of the mountains. Once, while he is playing with his bunch of friends and kid sister Chhoti, near the forests, he discovers a child, his body covered with festering wounds from rat bites and mice bites, hidden in a big hole in the ground. He finds out from a television news channel that Neel, the son of wealthy parents, has been kidnapped and kept hidden in the hole for a ransom. The chief kidnapper, a sinister character named Pandey is hiding in Raja’s house as Raja’s father, a taxi-driver, is involved in the kidnapping. In a moment of greed, he helped deliver the kidnapped child in his taxi. Pandey panics when he realises that Raja has chanced upon the truth and holds Raja’s family captive in their own house."
